Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Colt Peacemaker 1873 Replica Revolver,colt-peacemaker-1873-replica-revolver,"Experience the legend of the Wild West with this meticulously crafted Colt Peacemaker 1873 Replica Revolver. This non-firing replica captures every detail of the iconic Single Action Army revolver that won the West. Features include authentic wood grips, realistic metal construction, and working action. Perfect for collectors, reenactors, and western enthusiasts. Display stand included.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Western, Replica, Collectible, Cowboy, Revolver, 1873, Colt, Display, Non-Firing",TRUE,Active,COLT-PM-1873-BLK,8901234567890,Finish,Blued Steel,,,,,,,,189.99,229.99,85.00,TRUE,,,,,,shopify,25,DENY,1200,g,TRUE,manual,https://burst.shopifycdn.com/photos/revolver-background.jpg?width=1000,1,Colt Peacemaker 1873 Replica in Blued Steel finish,,FALSE,Colt Peacemaker 1873 Replica Revolver - Authentic Western Collectible,"Authentic Colt Peacemaker 1873 replica revolver. Non-firing collectible perfect for western enthusiasts and collectors. Detailed metal construction with wood grips.",black,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),COLT-PM-1873-BLK,Western Replicas,Collectibles,New,FALSE,Best Seller,Western,Replica,,
,colt-peacemaker-1873-replica-revolver,,,,,,,,COLT-PM-1873-NKL,8901234567891,,Nickel Plated,,,,,,,,199.99,239.99,90.00,TRUE,,,,,,shopify,18,DENY,1200,g,TRUE,manual,,2,Colt Peacemaker 1873 Replica in Nickel Plated finish,,,,,,,,,COLT-PM-1873-NKL,,,,,,,,,
,colt-peacemaker-1873-replica-revolver,,,,,,,,COLT-PM-1873-BRS,8901234567892,,Antique Brass,,,,,,,,209.99,249.99,95.00,TRUE,,,,,,shopify,12,DENY,1200,g,TRUE,manual,,3,Colt Peacemaker 1873 Replica in Antique Brass finish,,,,,,,,,COLT-PM-1873-BRS,,,,,,,,,
Winchester Model 1873 Lever Action Replica Rifle,winchester-model-1873-lever-action-replica-rifle,"Own a piece of American history with the Winchester Model 1873 Lever Action Replica Rifle. Known as 'The Gun That Won the West,' this stunning non-firing replica features authentic lever action mechanics, genuine walnut stock, and precision-crafted metal components. Full-scale 1:1 reproduction measuring 39 inches. Ideal for display, film props, or western collections.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Western, Replica, Winchester, Lever Action, 1873, Rifle, Collectible, Display, Cowboy",TRUE,Active,WIN-1873-STD,8901234567893,Finish,Classic Walnut,,,,,,,,349.99,429.99,165.00,TRUE,,,,,,shopify,15,DENY,3200,g,TRUE,manual,https://burst.shopifycdn.com/photos/antique-rifle-on-display.jpg?width=1000,1,Winchester Model 1873 Lever Action Replica Rifle,,FALSE,Winchester 1873 Lever Action Replica Rifle - The Gun That Won the West,"Authentic Winchester Model 1873 lever action replica rifle. Non-firing full-scale reproduction with walnut stock. Perfect for collectors and western displays.",brown,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),WIN-1873-STD,Western Replicas,Collectibles,New,FALSE,Premium,Western,Rifle,,
,winchester-model-1873-lever-action-replica-rifle,,,,,,,,WIN-1873-DLX,8901234567894,,Deluxe Engraved,,,,,,,,449.99,529.99,210.00,TRUE,,,,,,shopify,8,DENY,3200,g,TRUE,manual,,2,Winchester Model 1873 Deluxe Engraved Replica Rifle,,,,,,,,,WIN-1873-DLX,,,,,,,,,
Remington 1858 New Army Replica Revolver,remington-1858-new-army-replica-revolver,"Step back to the Civil War era with this exquisite Remington 1858 New Army Replica Revolver. This non-firing replica faithfully reproduces the rugged percussion revolver favored by Union cavalry. Features include a solid brass trigger guard, authentic octagonal barrel, and two-piece walnut grips. Complete with display case and certificate of authenticity.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Civil War, Replica, Remington, 1858, Revolver, Collectible, Historical, Cavalry, Display",TRUE,Active,REM-1858-BLU,8901234567895,Finish,Blued Steel,,,,,,,,169.99,199.99,75.00,TRUE,,,,,,shopify,30,DENY,1100,g,TRUE,manual,https://burst.shopifycdn.com/photos/vintage-revolver-display.jpg?width=1000,1,Remington 1858 New Army Replica Revolver in Blued Steel,,FALSE,Remington 1858 New Army Replica Revolver - Civil War Era Collectible,"Authentic Remington 1858 New Army replica revolver. Non-firing Civil War era collectible with brass trigger guard and walnut grips. Includes display case.",black,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),REM-1858-BLU,Western Replicas,Collectibles,New,FALSE,Historical,Civil War,Replica,,
,remington-1858-new-army-replica-revolver,,,,,,,,REM-1858-CSH,8901234567896,,Case Hardened,,,,,,,,179.99,219.99,80.00,TRUE,,,,,,shopify,22,DENY,1100,g,TRUE,manual,,2,Remington 1858 New Army Replica in Case Hardened finish,,,,,,,,,REM-1858-CSH,,,,,,,,,
Double Barrel Coach Gun Replica Shotgun,double-barrel-coach-gun-replica-shotgun,"Protect your stagecoach in style with this Double Barrel Coach Gun Replica Shotgun. This non-firing replica captures the essence of the classic side-by-side shotguns used by Wells Fargo guards and frontier lawmen. Features functional break-open action, polished hardwood stock, and authentic metal construction. Perfect for western reenactments, theater productions, or display.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Western, Replica, Shotgun, Coach Gun, Double Barrel, Wells Fargo, Stagecoach, Display",TRUE,Active,COACH-SG-20,8901234567897,Barrel Length,20 inch,,,,,,,,279.99,349.99,125.00,TRUE,,,,,,shopify,20,DENY,2800,g,TRUE,manual,https://burst.shopifycdn.com/photos/classic-shotgun-wooden-stock.jpg?width=1000,1,Double Barrel Coach Gun Replica 20 inch barrel,,FALSE,Double Barrel Coach Gun Replica - Classic Western Stagecoach Shotgun,"Authentic double barrel coach gun replica. Non-firing side-by-side shotgun with break-open action. Perfect for western displays and reenactments.",brown,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),COACH-SG-20,Western Replicas,Collectibles,New,FALSE,Popular,Western,Shotgun,,
,double-barrel-coach-gun-replica-shotgun,,,,,,,,COACH-SG-12,8901234567898,,12 inch Sawed-off,,,,,,,,299.99,369.99,135.00,TRUE,,,,,,shopify,15,DENY,2400,g,TRUE,manual,,2,Double Barrel Coach Gun Replica 12 inch sawed-off barrel,,,,,,,,,COACH-SG-12,,,,,,,,,
Smith & Wesson Schofield 1875 Replica Revolver,smith-wesson-schofield-1875-replica-revolver,"Experience the power of the frontier with the Smith & Wesson Schofield 1875 Replica Revolver. This non-firing replica recreates the break-top revolver that was a favorite among outlaws and lawmen alike. Features include automatic ejector mechanism display, period-accurate markings, and genuine pearl-style grips. Comes in deluxe presentation box.",Frontier Armory Co,Toys & Games > Toys > Play Vehicles > Toy Weapons,Replica Firearm,"Western, Replica, Smith Wesson, Schofield, 1875, Revolver, Break-Top, Collectible",TRUE,Active,SW-SCH-1875-BLK,8901234567899,Grip Style,Pearl,,,,,,,,219.99,269.99,100.00,TRUE,,,,,,shopify,18,DENY,1350,g,TRUE,manual,https://burst.shopifycdn.com/photos/antique-revolver-pearl-grip.jpg?width=1000,1,Smith & Wesson Schofield 1875 Replica with Pearl grips,,FALSE,Smith & Wesson Schofield 1875 Replica - Classic Break-Top Western Revolver,"Authentic Smith & Wesson Schofield 1875 replica revolver. Non-firing break-top design with pearl grips. Includes deluxe presentation box.",white,Toys & Games > Toys > Pretend Play > Dress-Up > Costume Weapon & Armor Accessories,Unisex,Adult (13+ years old),SW-SCH-1875-PRL,Western Replicas,Collectibles,New,FALSE,Premium,Western,Revolver,,
